ResultNumber,Consent,Appeal,Trust,Usage,Likes,Dislikes,Reccomended,Q9.1,Q9.2,Q9.3,Q9.4,Q9.5,Q10.1,Q10.2,Q10.3,Q10.4,Q10.5,Q11.1,Q11.2,Q11.3,Q11.4,Q11.5,UserID,Start Date,Start Time,Finish Date,Finish Time,Average Time,Interface,Activity level,Agegroup,Children,Country,Deotype,DeoUser,Deofreq,Gender,Sweating,Benefit
427,1,5,4,4,to cut off sweat ,nothing actually ,nope,5,4,4,4,5,5,4,2,3,3,6,7,5,6,4,7979029,07-08-2020,05:14,07-08-2020,05:24,49,desktop,3+ times a week,25 - 34 years,One,India,Lotion,Yes,I use it multiple times a day,Female,Anxious sweater,It prevents / controls against wetness
428,1,5,5,5,I want to try new products everyday,Nothing dislike,N/a,4,4,4,5,5,1,2,2,3,3,7,5,7,6,6,7590370,07-08-2020,05:18,07-08-2020,05:21,16.75,mobile,Twice a week,35 - 44 years,Two,India,Lotion,Yes,I use it at least once a day,Female,Excessive sweater,It cares for my skin
429,1,4,4,3,KEEPS YOU FRESH EVEN WHEN ITS HUMID,NOTHING,N/A,3,4,4,5,5,2,1,1,1,1,3,6,5,7,7,5374627,07-08-2020,05:22,07-08-2020,20:12,4449.166667,desktop,Twice a week,35 - 44 years,One,UK,Roll-on,Yes,I use it at least once a day,Female,Normal sweater,Has a fragrance I like
430,1,4,4,3,it release a natural cooling sensation,rigidity of the product concept,after effect of cooling sensation,4,3,4,3,3,4,3,4,2,3,5,5,4,4,4,7719364,07-08-2020,05:26,07-08-2020,05:32,32.58333333,desktop,Twice a week,45 - 54 years,One,India,Aerosol Spray,Yes,I use it at least once a day,Male,Light sweater,It cares for my skin
431,1,4,4,4,It is nice work i love this work,No comment ,No,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,7763633,07-08-2020,05:34,07-08-2020,05:42,40.58333333,mobile,Twice a week,45 - 54 years,I don’t have children under the age of 18,India,Aerosol Spray,Yes,I use it at least once a day,Female,Heavy sweater,It cares for my skin
432,1,2,2,1,The name is nice. It evokes what one wants to feel on a hot and sticky day. The idea expressed in the second bubble - activated by ...no matter the climate is pleasing. ,The name Balu is rare and it is a South Indian name whereas the picture is of a man who is obviously from a Nordic nation. The copy for the first pic is tedious and childishly finger pointing (my deodorant lets me down). Both pics are of white people. The copy in the second bubble is also clumsy but has better substance,Change the name Balu to something more neutral. Choose a face type that is not so white. Trim the copy so it is to the point and reads nice to the ear if read aloud. ,3,4,4,3,3,3,1,1,3,3,4,7,6,4,5,7741858,07-08-2020,05:35,07-08-2020,08:17,809.9166667,desktop,3+ times a week,55 - 64 years,I don’t have children under the age of 18,India,I don't use any,No,I rarely / never use deodorant,Female,Heavy sweater,I don't use any
433,1,4,4,3,The advertisement has a scientific approach of getting my attention.,The product does not promise sweat control.,"I will add natural fragrance to the product, when activated by the body temperature.",3,4,4,5,5,3,2,1,1,1,4,5,6,7,7,7763743,07-08-2020,05:35,07-08-2020,05:41,29.75,desktop,3+ times a week,35 - 44 years,I don’t have any children,India,Aerosol Spray,Yes,I use it at least once a day,Male,Heavy sweater,It prevents / controls against odour
434,1,4,2,3,it would be good if it provides extra protection when I need it.,I find it hard to believe it would work,Not if it did the job,3,4,4,5,5,2,2,2,1,1,3,5,5,7,7,5411185,07-08-2020,05:39,07-08-2020,05:43,21.41666667,desktop,Twice a week,55 - 64 years,I don’t have children under the age of 18,Australia,Roll-on,Yes,I use it multiple times a day,Female,Light sweater,It prevents / controls against odour
435,1,5,5,5,extra cooling ingredients,tell me the ingredient,na,3,3,4,5,5,3,3,2,1,1,1,1,4,7,7,5377246,07-08-2020,05:39,07-08-2020,05:47,41.58333333,desktop,Never,35 - 44 years,I don’t have children under the age of 18,Australia,Aerosol Spray,Yes,I use it at least once a day,Male,Heavy sweater,It prevents / controls against odour
436,1,4,4,5,It is great to have a deo that takes care of climatic conditions.,n/a,n/a,4,4,2,4,5,2,1,1,1,1,5,5,4,6,6,7742084,07-08-2020,05:40,07-08-2020,05:48,40.41666667,desktop,Twice a week,45 - 54 years,I don’t have children under the age of 18,India,Aerosol Spray,Yes,"I use it most days, but not every day",Female,Normal sweater,Has a fragrance I like
437,1,3,4,2,the cooling ingredient sounds good,nothing,no,4,4,4,4,4,2,1,1,1,1,4,6,5,7,6,5383703,07-08-2020,05:46,07-08-2020,05:49,12.33333333,mobile,3+ times a week,35 - 44 years,One,Australia,Roll-on,Yes,I use it at least once a day,Female,Normal sweater,It prevents / controls against odour
438,1,4,4,4,Being able to keep you fresh no matter what the temperature,n/a,n/a,2,5,5,5,5,2,1,1,1,1,4,5,6,5,6,5364558,07-08-2020,05:52,07-08-2020,05:58,33.18181818,desktop,Twice a week,55 - 64 years,I don’t have children under the age of 18,Australia,Aerosol Spray,Yes,I use it at least once a day,Female,Anxious sweater,It prevents / controls against wetness
439,1,4,4,4,I like the cooling sensation activated by body temperature ,n/a,N/a,3,4,4,5,5,3,1,1,1,1,4,6,6,7,7,7618647,07-08-2020,05:53,07-08-2020,06:00,36.27272727,desktop,Less often,65 years +,I don’t have any children,Australia,Roll-on,Yes,"I use it most days, but not every day",Female,Normal sweater,It prevents / controls against wetness
440,1,5,3,5,That a deodorant works with your body. ,n/a,n/a,5,5,4,4,4,2,2,4,2,5,4,6,5,6,6,5383445,07-08-2020,06:32,07-08-2020,06:53,111.8181818,mobile,Twice a week,35 - 44 years,I don’t have children under the age of 18,UK,Roll-on,Yes,I use it at least once a day,Female,Non-sweater,Has a fragrance I like
441,1,5,3,4,I LIKE THAT WHEN YOU GET HOT IT HAS A COOLING AGENT,WHAT SORT OF CHEMICALS ARE IN THIS???,NA,4,4,5,5,5,1,1,2,1,1,6,4,5,7,7,6897994,07-08-2020,06:36,07-08-2020,06:39,12.91666667,desktop,Twice a week,25 - 34 years,I don’t have any children,South Africa,Roll-on,Yes,I use it at least once a day,Female,Normal sweater,It prevents / controls against odour
442,1,4,3,4,"like that the product will provide a cooling sensation, releasing cooling ingredients that will keep me fresh no matter the climate","would say the word Encaps, feel that most people will not know what that is or means, feel that name should be change to something different that will be more clear and relatable to the product","would change the word Encaps, to something people can understand",1,4,4,5,5,5,1,1,1,1,1,6,6,7,7,7565169,07-08-2020,06:57,07-08-2020,07:55,318.3636364,desktop,Less often,45 - 54 years,I don’t have any children,US,Stick,Yes,I use it at least once a day,Female,Normal sweater,It’s natural / contains natural ingredients
443,1,4,3,3,Keeps sweat under control,Nothing,n/a,5,4,5,5,5,1,1,1,1,1,6,5,5,7,7,6914871,07-08-2020,07:12,07-08-2020,07:16,21.41666667,desktop,3+ times a week,45 - 54 years,One,South Africa,Roll-on,No,I use it at least once a day,Female,Heavy sweater,It prevents / controls against odour
444,1,5,3,3,works as u need it,nothing,nothing,5,5,5,5,5,3,3,1,1,1,6,7,7,7,7,5366027,07-08-2020,07:20,07-08-2020,07:24,20.91666667,desktop,3+ times a week,35 - 44 years,Two,South Africa,Aerosol Spray,Yes,I use it multiple times a day,Male,Anxious sweater,Has a fragrance I like
445,1,5,4,4,I like the idea of 'on-demand cooling sensation'. it seems like a unique and innovative concept,I am a little less confident if this could be actually true or if it's any marketing gimmick,I would add relevant data to prove the above-given statement by the product designer,5,5,5,5,5,1,1,1,1,1,6,7,7,7,7,7681904,07-08-2020,07:33,07-08-2020,07:41,40.16666667,desktop,3+ times a week,25 - 34 years,Two,India,Pump spray,Yes,I use it at least once a day,Female,Heavy sweater,It’s natural / contains natural ingredients
446,1,5,4,5,That it would let me feel cool even when my body temperature is hot because of the hot and humid weather. That it would also retain the fragrance that is usually lost when using normal deodorants. ,Maybe the chemicals are bad for my skin,I would like them to mention that the product is skin-friendly or that it wouldn't cause skin reactions. It must be natural and not cancer-causing.,5,5,5,4,5,2,1,1,2,1,7,7,7,6,7,7617815,07-08-2020,07:55,07-08-2020,08:03,37.66666667,mobile,3+ times a week,25 - 34 years,One,India,Aerosol Spray,Yes,I only use it on specific occasions,Female,Heavy sweater,It prevents / controls against odour
447,1,4,4,4,Good idea,Nothing,n/a,4,4,4,4,4,1,1,1,1,1,5,4,6,6,7,7554005,07-08-2020,08:02,07-08-2020,08:08,31.54545455,mobile,3+ times a week,25 - 34 years,I don’t have children under the age of 18,South Africa,Aerosol Spray,Yes,I use it multiple times a day,Male,Heavy sweater,It cares for my skin
448,1,3,3,4,it is something different,none,no,4,4,3,4,4,3,3,4,2,4,4,6,4,6,6,7763941,07-08-2020,08:04,07-08-2020,08:06,12,desktop,3+ times a week,25 - 34 years,I don’t have children under the age of 18,India,Pump spray,Yes,"I use it most days, but not every day",Male,Heavy sweater,It cares for my skin
449,1,3,2,3,releases cooling ingredients no matter the climate,"not being able to see what it looks like, is it an additional product to use? does it adjust to the temperature?",temperature rather than climate,5,5,5,5,5,1,1,1,1,1,5,7,7,7,7,7293602,07-08-2020,08:06,07-08-2020,08:11,27.54545455,desktop,Twice a week,45 - 54 years,I don’t have children under the age of 18,US,Stick,Yes,I use it multiple times a day,Female,Anxious sweater,It prevents / controls against odour
450,1,4,4,4,cooling sensation in hot humid climate,n/a,n/a,4,4,4,4,4,1,1,3,2,1,6,6,5,5,6,7741892,07-08-2020,08:08,07-08-2020,08:16,38.58333333,desktop,3+ times a week,45 - 54 years,I don’t have children under the age of 18,India,Roll-on,Yes,I use it at least once a day,Female,Heavy sweater,It prevents / controls against odour
451,1,5,5,5,"I like the fact that as my body temperature rise it would activate the product and it would keep me fresh. There is nothing so irritating for me as feeling hot and uncomfortable, especially while travelling.  Feeling cool just makes you feel more energetic and mentally it just makes you feel more positive. When you hot and sweaty you feel crushed and saps your energy. ",How can there be anything about this product that a person can dislike? ,n/a,5,5,5,5,5,1,1,1,1,1,6,7,7,7,7,7668652,07-08-2020,08:08,07-08-2020,08:23,77.63636364,desktop,Twice a week,45 - 54 years,I don’t have children under the age of 18,South Africa,Aerosol Spray,Yes,I use it at least once a day,Male,Excessive sweater,Has a fragrance I like
452,1,5,5,5,good one,nothing,no,5,5,5,5,5,1,1,1,1,1,7,7,7,7,7,8607761,07-08-2020,08:15,07-08-2020,08:17,8.909090909,desktop,3+ times a week,45 - 54 years,One,India,Lotion,Yes,I use it multiple times a day,Female,Normal sweater,It prevents / controls against odour
453,1,4,4,5,Its controll my body temprature and i feel fresh,Noth8ng,I prefer not to say,4,4,5,4,4,4,4,5,4,5,6,6,7,6,6,9067444,07-08-2020,08:28,07-08-2020,08:33,26.16666667,desktop,,,,,,,,,,
454,1,3,4,3,It is different,I don't think I need it,No,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5390544,07-08-2020,08:33,07-08-2020,08:35,11.41666667,desktop,Once a week,25 - 34 years,I don’t have any children,Australia,Roll-on,Yes,I use it multiple times a day,Female,Normal sweater,It prevents / controls against odour
455,1,5,4,4,i like how it's smart enough to be activated by body temperature and provide cooling when needed,n/a,n/a,4,4,5,5,5,2,3,3,1,1,5,5,6,7,7,5451666,07-08-2020,08:33,07-08-2020,08:39,25.5,desktop,Never,35 - 44 years,I don’t have any children,Australia,Roll-on,Yes,I use it at least once a day,Female,Normal sweater,It prevents / controls against odour
456,1,5,2,4,It seems quite original and definitely would solve the issue I as a woman would not speak about openly.,"The ad above is not very forthcoming about the application details or product appearance or smell, so I cant quite comment on that until tested, but I do have concerns over the chemicals used, it does not seem all natural.",I would need more information on the product before offering any ideas on changes. ,1,4,4,5,5,4,2,1,1,1,3,5,5,7,7,5361130,07-08-2020,08:47,07-08-2020,08:55,41.5,desktop,Less often,25 - 34 years,Two,South Africa,Stick,Yes,I use it at least once a day,Female,Heavy sweater,It prevents / controls against odour
457,1,4,4,4,It activates a cooling sensation when there's a change in temperature,n/a,n/a,2,4,5,5,4,4,1,1,1,1,1,7,6,6,5,5428930,07-08-2020,08:48,07-08-2020,10:12,418.0833333,desktop,3+ times a week,25 - 34 years,I don’t have any children,Australia,Aerosol Spray,Yes,I use it at least once a day,Female,Anxious sweater,It prevents / controls against wetness
458,1,1,3,1,n/a,nothing,no,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5375695,07-08-2020,08:52,07-08-2020,08:53,6.181818182,desktop,3+ times a week,25 - 34 years,I don’t have any children,UK,Aerosol Spray,Yes,I use it at least once a day,Female,Excessive sweater,It prevents / controls against odour
459,1,5,5,5,It provides cooling sensation as per our body temperature.,n/a,n/a,4,5,5,5,5,2,1,1,1,1,7,7,7,7,7,7829005,07-08-2020,09:00,07-08-2020,09:07,39.58333333,mobile,,25 - 34 years,,India,,,,Male,,
460,1,5,4,4,"I think the most interesting thing about this product which I liked most is, this product is going to release cooling ingredients when activated by your body temperature to keep you fresh no mater what the climate is during your journey!",I think there is not a single thing that I disliked about this product.,I would only like to change the smell of this product.,3,5,4,5,5,1,1,1,1,1,5,6,7,7,7,7742114,07-08-2020,09:00,07-08-2020,09:12,66.54545455,desktop,3+ times a week,25 - 34 years,One,India,Aerosol Spray,Yes,I use it at least once a day,Male,Normal sweater,It cares for my skin
461,1,5,4,5,"It is a unique product and since we live in a hot and humid country(India), such a product would be very much useful to us.",None,"No, it seems just perfect",2,5,5,5,5,5,1,1,1,1,5,7,7,7,7,7742073,07-08-2020,09:11,07-08-2020,09:15,19.16666667,desktop,3+ times a week,45 - 54 years,I don’t have children under the age of 18,India,Roll-on,Yes,I use it at least once a day,Male,Heavy sweater,It prevents / controls against odour
462,1,5,5,5,This product can help us feel comfortable in a hot and humid climate. ,n/a,product should be available in a variety of fragrances. ,5,5,5,5,5,1,1,1,1,1,7,7,7,7,7,7810470,07-08-2020,09:13,07-08-2020,09:19,29.58333333,mobile,,25 - 34 years,One,India,Aerosol Spray,Yes,I use it multiple times a day,Male,Heavy sweater,
463,1,1,2,1,nothing,it really something I need or would use,n/a,1,4,4,4,3,4,1,1,1,1,1,7,6,7,7,5390711,07-08-2020,09:13,07-08-2020,09:18,23.58333333,desktop,3+ times a week,65 years +,I don’t have children under the age of 18,Australia,Aerosol Spray,Yes,I use it at least once a day,Female,Non-sweater,Has a fragrance I like
464,1,4,4,4,cooling senstaion,n/A,none,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5332746,07-08-2020,09:21,07-08-2020,09:24,19,desktop,3+ times a week,25 - 34 years,I don’t have any children,UK,Roll-on,Yes,I use it at least once a day,Female,Heavy sweater,It prevents / controls against odour
465,1,4,4,4,If it can be done automatically without any effort it should be good.,"It does not give full details as "" Before moving in from a hot temperature to a colder temperature there has to be time lag otherwise a person may catch cold"" and also what will body  temperature after the use of the product needs to be mentioned. In short the product can be used but with certain pre conditions which can be mentioned as and when it is introduced.",It require a lot more clarity on the use.,4,4,4,4,4,1,1,1,1,1,6,6,6,6,6,7741701,07-08-2020,09:22,07-08-2020,09:59,184.9166667,desktop,3+ times a week,45 - 54 years,I don’t have any children,India,I don't use any,No,I rarely / never use deodorant,Male,Normal sweater,I don't use any
466,1,3,4,4,Keep fresher in hot weather,Nothing,N/a,4,3,3,4,3,3,3,3,3,3,4,4,4,4,4,7978692,07-08-2020,09:47,07-08-2020,09:49,11.08333333,mobile,,55 - 64 years,,UK,,,,Female,,
467,1,4,5,5,I like this product. Ice cube has a good for high temperature and humid areas perfectly work and safe for your skins. ,No any dislike this product ,N/A,5,5,4,4,5,2,3,3,3,3,7,7,6,7,6,7763396,07-08-2020,09:59,07-08-2020,10:15,77.91666667,mobile,3+ times a week,35 - 44 years,Two,India,Stick,Yes,I use it at least once a day,Male,Normal sweater,It cares for my skin
468,1,5,5,5,I liked the cooling effects provided by the product. ,n/a,I would like this product to be skin friendly. ,5,5,5,5,5,1,1,1,1,1,7,7,7,7,7,7974248,07-08-2020,09:59,07-08-2020,10:05,30.75,mobile,,25 - 34 years,,India,,,,Male,,
469,1,4,5,5,Refreshing to me,N/A,n/a,5,5,5,5,5,1,1,1,2,1,7,7,7,7,7,8066692,07-08-2020,10:09,07-08-2020,10:30,116.5454545,desktop,,25 - 34 years,,South Africa,,,,Female,,
470,1,4,5,5,cooling sensation,ok,ok,4,4,4,5,5,4,3,4,3,3,7,7,6,6,7,7812611,07-08-2020,10:11,07-08-2020,10:15,20.75,desktop,3+ times a week,35 - 44 years,One,India,Aerosol Spray,Yes,I use it multiple times a day,Male,Normal sweater,It’s natural / contains natural ingredients
471,1,4,5,4,The fact that it has a cooling effect which i sometimes need when attacked by warm body temperatures,I would say nothing at all because it brings a solutions to my problems,I would say that they must make it to be natural in ingredients,4,5,5,5,4,5,1,1,1,2,6,7,5,6,7,5368341,07-08-2020,10:30,07-08-2020,10:40,51.75,desktop,Twice a week,25 - 34 years,Two,South Africa,Pump spray,Yes,I use it multiple times a day,Female,Anxious sweater,It prevents / controls against wetness
472,1,4,4,4,it gives you a cooling sensation,n/a,n/a,4,3,5,4,5,3,1,1,3,1,5,6,6,4,7,8662277,07-08-2020,10:30,07-08-2020,10:37,32.33333333,desktop,Once a week,55 - 64 years,I don’t have any children,Philippines,I don't use any,Yes,I use it at least once a day,Female,Heavy sweater,It prevents / controls against odour
473,1,5,5,5,This product helps to stay cool in hot climate. ,n/a,n/a,5,5,5,5,5,1,1,1,1,1,7,7,7,7,7,7856501,07-08-2020,10:42,07-08-2020,10:47,26.5,mobile,,25 - 34 years,,India,,,,Male,,
474,1,4,4,4,cooling sensation for body temperatures in all climates,Nothing,I would not change anything,4,4,4,4,4,1,1,1,1,1,5,5,5,5,5,5371686,07-08-2020,10:42,07-08-2020,10:54,67.90909091,desktop,Twice a week,35 - 44 years,Three,South Africa,Aerosol Spray,Yes,I use it at least once a day,Male,Anxious sweater,It prevents / controls against wetness
475,1,5,4,5,sounds great when commuting,nothing,n/a,4,5,4,5,4,3,1,1,1,1,6,6,6,6,6,6879407,07-08-2020,10:43,07-08-2020,10:51,37.66666667,desktop,3+ times a week,35 - 44 years,Two,UK,Roll-on,Yes,I use it at least once a day,Female,Anxious sweater,It prevents / controls against odour
476,1,5,5,5,Sweat control for mumbais hot climate,N/a,N/a,4,5,4,5,5,1,1,1,1,1,6,6,5,6,6,7763343,07-08-2020,10:44,07-08-2020,10:47,18.25,mobile,Less often,35 - 44 years,Two,India,Aerosol Spray,Yes,I use it multiple times a day,Female,Heavy sweater,It prevents / controls against odour
477,1,4,5,4,Very nice product,Nothing it's all right,Nothing it's ok,5,4,4,4,5,5,5,4,5,5,6,7,7,6,6,7554041,07-08-2020,10:47,07-08-2020,10:51,19.54545455,mobile,3+ times a week,35 - 44 years,Three,India,Aerosol Spray,Yes,I use it at least once a day,Male,Excessive sweater,It prevents / controls against wetness
478,1,4,3,3,Unique idea,N/a,N/a,4,4,4,5,5,2,2,2,1,1,4,5,6,7,7,5347816,07-08-2020,10:48,07-08-2020,11:11,124.2727273,desktop,3+ times a week,25 - 34 years,I don’t have any children,UK,Roll-on,Yes,I use it at least once a day,Female,Anxious sweater,It prevents / controls against odour
479,1,5,5,5,I like the cooling feature of the product  which can help me to stay calm in hot climate.,n/a,n/a,5,5,5,5,5,1,1,1,1,1,7,7,7,7,7,7973635,07-08-2020,10:51,07-08-2020,10:59,40.16666667,mobile,,25 - 34 years,,India,,,,Male,,
480,1,4,4,4,"would be worth a try to see if it works, as I sweat loads especially when don't want to.",may just be another gimmick like 72 hour control - what are they doing freezing your glands,"unsure not being scientifically minded, would be intrigued to know how it worked especially if natural",4,4,4,5,4,3,2,2,1,1,4,3,5,7,6,7590364,07-08-2020,11:05,07-08-2020,11:10,25.33333333,desktop,3+ times a week,35 - 44 years,I don’t have any children,UK,Roll-on,Yes,"I use it most days, but not every day",Male,Excessive sweater,It prevents / controls against wetness
481,1,3,2,3,on demand cooling sensation,nothing is explained,give more details,4,4,3,5,5,2,1,2,1,1,7,7,5,7,7,7617907,07-08-2020,11:06,07-08-2020,11:13,36.33333333,desktop,3+ times a week,18 - 24 years,I don’t have any children,India,Roll-on,Yes,I use it multiple times a day,Female,Heavy sweater,Has a fragrance I like
482,1,3,2,2,"Would provide a ""cooling sensation""; added protection.","I don't know what ""ice cube encaps"" actually are.",A better look at the product and how it's applied/works.,3,5,4,5,5,3,1,1,1,1,2,6,5,7,7,7618531,07-08-2020,11:07,07-08-2020,11:11,23,desktop,Twice a week,25 - 34 years,I don’t have any children,UK,Aerosol Spray,Yes,I use it at least once a day,Male,Light sweater,Has a fragrance I like
483,1,4,4,3,on demand cooling sense,description is well but when i use then i got the final result be practical,no,4,4,4,3,4,3,3,3,3,3,6,5,5,6,6,7561530,07-08-2020,11:13,07-08-2020,11:19,30.66666667,desktop,3+ times a week,45 - 54 years,One,India,Aerosol Spray,Yes,I use it at least once a day,Male,Anxious sweater,It prevents / controls against odour
484,1,5,5,5,everything clear,nothing,girl pic,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5454957,07-08-2020,11:18,07-08-2020,11:21,15.45454545,desktop,3+ times a week,25 - 34 years,One,US,Cream,Yes,I use it multiple times a day,Female,Excessive sweater,Has a fragrance I like
485,1,4,4,3,It would be a good idea for people who do sport,There are other effective products on market,Make it more for sport people,4,4,4,5,5,2,1,2,1,1,4,7,6,7,7,5378287,07-08-2020,11:18,07-08-2020,11:23,28.27272727,desktop,Once a week,35 - 44 years,I don’t have children under the age of 18,UK,Aerosol Spray,Yes,I use it at least once a day,Female,Normal sweater,It prevents / controls against odour
486,1,5,5,5,This product provides cooling and gives relief during hot climate.,n/a,n/a,5,5,5,5,5,1,1,1,1,1,7,7,7,7,7,7974101,07-08-2020,11:19,07-08-2020,11:30,52.66666667,mobile,,25 - 34 years,,India,,,,Male,,
487,1,4,4,5,Able to absorb sweat,None,Mo?e Crystals ,5,5,5,5,5,1,1,1,1,1,6,7,7,6,7,7605520,07-08-2020,11:21,07-08-2020,11:24,16.5,mobile,3+ times a week,45 - 54 years,Three,South Africa,Roll-on,Yes,I use it at least once a day,Male,Anxious sweater,It prevents / controls against wetness
488,1,5,5,5,to keep you fresh all the time.,n/a,n/a,5,5,5,5,5,1,1,1,1,1,7,7,7,7,7,8589715,07-08-2020,11:26,07-08-2020,11:39,64.91666667,desktop,3+ times a week,45 - 54 years,Two,Philippines,Roll-on,Yes,I use it multiple times a day,Male,Excessive sweater,It cares for my skin
489,1,3,4,1,The idea of being able to cool down on the go!,It makes me think of wetness. I feel it will also be expensive and not really eco friendly,N/a,4,5,5,4,4,3,1,1,3,3,4,7,5,4,4,8642004,07-08-2020,11:34,07-08-2020,11:51,85.08333333,mobile,Less often,25 - 34 years,I don’t have any children,Australia,Roll-on,Yes,I use it at least once a day,Female,Anxious sweater,"It's free from (aluminium, chemical or fragrance)"
490,1,5,3,4,the cooling ingredients,nothing,n/a,4,4,4,4,5,2,1,1,1,1,5,6,6,7,7,5336845,07-08-2020,11:37,07-08-2020,11:40,13.33333333,desktop,Once a week,45 - 54 years,I don’t have any children,UK,Roll-on,Yes,I use it at least once a day,Female,Anxious sweater,It prevents / controls against wetness
491,1,3,3,4,n/a,n/a,n/a,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,6884765,07-08-2020,11:39,07-08-2020,11:41,10.18181818,desktop,Twice a week,25 - 34 years,I don’t have any children,UK,Aerosol Spray,Yes,I use it at least once a day,Female,Heavy sweater,It cares for my skin
492,1,5,4,5,cooling quality,n/a,n/a,4,4,4,4,5,3,1,1,1,1,5,4,4,4,5,7915763,07-08-2020,11:41,12-08-2020,17:33,37759.16667,desktop,3+ times a week,25 - 34 years,I don’t have any children,India,Roll-on,Yes,"I use it most days, but not every day",Female,Normal sweater,It prevents / controls against odour
493,1,4,3,3,the cooling sensation,the price?,n/a,3,4,4,4,4,3,1,1,1,1,4,6,6,6,6,5372639,07-08-2020,11:52,07-08-2020,11:57,27,desktop,Never,65 years +,I don’t have children under the age of 18,UK,Aerosol Spray,Yes,I use it at least once a day,Male,Light sweater,It prevents / controls against odour
494,1,4,3,3,that it works with body temperature,nothing,the name encaps,4,4,4,4,4,3,1,2,1,1,3,6,6,6,6,5332506,07-08-2020,11:53,07-08-2020,11:55,12.83333333,desktop,Never,55 - 64 years,I don’t have any children,UK,Aerosol Spray,Yes,I use it at least once a day,Female,Normal sweater,It prevents / controls against wetness
495,1,4,4,5,its make cool after come from hot and humid city,nothing all looks good,n/a,4,4,4,5,4,3,3,3,1,3,6,7,6,6,6,7742052,07-08-2020,12:06,07-08-2020,12:12,29,desktop,3+ times a week,25 - 34 years,Two,India,Cream,Yes,I use it multiple times a day,Male,Anxious sweater,It prevents / controls against odour
496,1,5,5,5,I like the cooling ingredients the product have. I have never heard about such ingredients before.,n/a,n/a,5,5,5,5,5,1,1,1,1,1,7,7,7,7,7,7741873,07-08-2020,12:22,07-08-2020,12:41,94.08333333,desktop,3+ times a week,25 - 34 years,Two,India,Pump spray,Yes,I use it multiple times a day,Male,Heavy sweater,It prevents / controls against odour
497,1,4,5,5,Its ability to avoid having too much sweat that can cause body odor,n/a,n/a,4,4,4,5,4,1,1,1,1,1,6,7,7,7,7,8738450,07-08-2020,12:34,07-08-2020,12:40,30.33333333,mobile,Never,35 - 44 years,I don’t have any children,Philippines,Lotion,No,I rarely / never use deodorant,Female,Normal sweater,I don't use any
498,1,5,4,4,"Although I don't commute , I still get hot and a product that can create a cooling sensation would be great when the heat hits. Hopefully it would work for menopausal hot flushes too!",If the cooling effect only kicks in when you feel hot I can't see a downside to the product.,n/a,4,4,5,5,5,2,1,1,1,1,3,7,7,6,6,5333963,07-08-2020,12:35,07-08-2020,13:19,237.5454545,desktop,Never,55 - 64 years,I don’t have children under the age of 18,UK,Aerosol Spray,Yes,I use it at least once a day,Female,Anxious sweater,It prevents / controls against odour
499,1,4,4,5,The product releases cooling ingredents,n/a,n/a,5,5,4,5,5,1,1,1,1,1,6,6,6,7,7,7719405,07-08-2020,12:54,07-08-2020,13:03,44.5,desktop,3+ times a week,65 years +,I don’t have children under the age of 18,India,Aerosol Spray,Yes,I only use it on specific occasions,Male,Heavy sweater,It prevents / controls against odour
500,1,4,3,4,I like that it has a cooling sensation for when it's extra hot,nothing I love it,n/a,3,3,4,5,3,3,2,1,3,2,4,7,6,6,7,5368125,07-08-2020,13:28,13-08-2020,11:17,42546.58333,desktop,Few times a month,25 - 34 years,I don’t have any children,South Africa,Roll-on,Yes,I use it multiple times a day,Female,Heavy sweater,It prevents / controls against wetness
501,1,5,5,5,I like the efficiency of the product and cooling ingredients in hot weather conditions,n/a,n/a,5,5,5,5,5,1,1,1,1,1,7,7,7,7,7,7811514,07-08-2020,13:30,07-08-2020,13:39,46.08333333,mobile,,25 - 34 years,Two,India,Aerosol Spray,Yes,I use it multiple times a day,Male,Heavy sweater,
502,1,5,5,5,i like the idea of cooling ingredients knowing released depending on my body temperature and the sensation that would give and cooling off.,Nothing really except in the UK we never tend to get that hot to need it.,N/a,4,5,5,5,5,2,1,1,1,1,5,7,7,7,7,5332652,07-08-2020,13:30,07-08-2020,13:35,23,desktop,Twice a week,35 - 44 years,I don’t have any children,UK,Aerosol Spray,Yes,I use it at least once a day,Female,Normal sweater,It prevents / controls against odour
503,1,4,4,4,The claim that 'the product releases cooling ingredients when activated by your body temperature' is what I like about the product.,N/A,'Climate' may be changed,4,4,5,4,4,2,1,1,1,1,5,6,7,7,7,7742088,07-08-2020,13:43,07-08-2020,14:00,87.25,desktop,Few times a month,55 - 64 years,I don’t have children under the age of 18,India,I don't use any,No,I rarely / never use deodorant,Male,Light sweater,I don't use any
504,1,4,3,3,that it may keep a person from sweating in a very humid environment,nothing so far,n/a,4,5,5,5,5,2,1,1,1,1,4,7,7,7,7,5341391,07-08-2020,13:45,07-08-2020,13:50,28.90909091,desktop,Never,45 - 54 years,I don’t have any children,US,Gel,Yes,I use it at least once a day,Female,Light sweater,It prevents / controls against odour
